sundanese:0 "Sundanese"
PAH:0 "Pahang"
SIA:0 "Siam"
MAJ_ideas:0 "Majapahit Ideas"
maj_restore_candi:0 "Restore Candi Shrines"
maj_gajah_madas_oath:0 "Gajah Mada's Oath"
maj_majapahit_armada:0 "The Majapahit Armada"
maj_reformed_bhattara_saptaprabhu:0 "Reformed Bhattara Saptaprabhu"
maj_nusantara_tributaries:0 "Nusantara Tributaries"
maj_maritime_silk_road:0 "The Maritime Silk Road"
maj_nusa_tenggara:0 "Nusa Tenggara Colonies"
ATJ_ideas:0 "Acehnese Ideas"
islamise_sumatra:0 "Islamize Sumatra"
rise_of_aceh:0 "Rise of Aceh"
military_adventures:0 "Military Adventures"
acehnese_moneylending:0 "Acehnese Moneylending"
export_economy:0 "Export Economy"
BLI_ideas:0 "Balinese ideas"
javanese_culture:0 "Imported Javanese Culture"
aristocratic_refugees:0 "Aristocratic Refugees"
staunch_hindus:0 "Staunch Hindus"
conquerer_dalems:0 "Conquerer Dalems"
bli_island_settlers:0 "Island Settlers"
hindu_reformation:0 "Hindu Reformation"
rivals_to_slaves:0 "Rivals to Slaves"
SUN_ideas:0 "Sundanese ideas"
defensive_moats:0 "Defensive Moats"
wooden_architecture:0 "Elaborate Wooden Architecture"
seren_taun:0 "Seren Taun"
sunda_galuh:0 "Union of Sunda and Galuh"
MLC_ideas:0 "Malaccan Ideas"
mlc_vassal_princes:0 "Vassal Princes"
mlc_maritime_laws:0 "Maritime Laws"
mlc_new_hegemony:0 "Malaccan Hegemony"
mlc_islamic_sultanate:0 "Islamic Sultanate"
mlc_habor_masters:0 "Harbor Masters"
mlc_daulat:0 "Dualat"
mlc_jawi_script:0 "Jawi Script"
BEI_ideas:0 "Bruneian Ideas"
bei_galleys:0 "Galley Fleet"
bei_sea_nomads:0 "Sea Nomads"
bei_diplomacy:0 "Bruneian Diplomacy"
bei_vassals:0 "Hegemon of Borneo"
bei_naval_prowess:0 "Naval Prowess"
bei_trade:0 "Merchant Alliances"
MSA_ideas:0 "Malayan Ideas"
